close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
12.81,13.0594,12.75,12.94,F,56536460,HISTORICAL_PRICES,F,,2021-03-11,1637201847000,0.13463241806908782,0.13463241806908782,12.94,12.81,13.0594,12.75,56536460,12.8752,12.7458,12.994,12.6861,56536460,"Mar 11, 21",-0.09999999999999964,-0.0077
13.37,13.43,12.77,12.78,F,87160077,HISTORICAL_PRICES,F,,2021-03-12,1637201824000,0.1842338352524358,0.1842338352524358,12.78,13.37,13.43,12.77,87160077,12.716,13.303,13.3627,12.706,87160077,"Mar 12, 21",0.5599999999999987,0.0437
13.2,13.62,13.0501,13.39,F,65229000,HISTORICAL_PRICES,F,,2021-03-15,1637202159000,0.16917626217891943,0.16917626217891943,13.39,13.2,13.62,13.0501,65229000,13.3229,13.1339,13.5518,12.9847,65229000,"Mar 15, 21",-0.16999999999999993,-0.0127
12.49,13.15,12.43,13.06,F,125425273,HISTORICAL_PRICES,F,,2021-03-16,1637201940000,0.10628875110717459,0.10628875110717459,13.06,12.49,13.15,12.43,125425273,12.9946,12.4274,13.0841,12.3677,125425273,"Mar 16, 21",-0.7099999999999991,-0.0538
12.69,12.7,12.22,12.34,F,109324385,HISTORICAL_PRICES,F,,2021-03-17,1637201940000,0.12400354295837028,0.12400354295837028,12.34,12.69,12.7,12.22,109324385,12.2782,12.6264,12.6364,12.1588,109324385,"Mar 17, 21",0.1999999999999993,0.016
12.49,13.01,12.44,12.7,F,76733254,HISTORICAL_PRICES,F,,2021-03-18,1637201856000,0.10628875110717459,0.10628875110717459,12.7,12.49,13.01,12.44,76733254,12.6364,12.4274,12.9448,12.3777,76733254,"Mar 18, 21",-0.1999999999999993,-0.0158
12.83,12.95,12.55,12.85,F,90885155,HISTORICAL_PRICES,F,,2021-03-19,1637201794000,0.13640389725420735,0.13640389725420735,12.85,12.83,12.95,12.55,90885155,12.7856,12.7657,12.8851,12.4871,90885155,"Mar 19, 21",0.33999999999999986,0.0272
12.85,12.93,12.51,12.85,F,81362146,HISTORICAL_PRICES,F,,2021-03-22,1637201824000,0.1381753764393269,0.1381753764393269,12.85,12.85,12.93,12.51,81362146,12.7856,12.7856,12.8652,12.4473,81362146,"Mar 22, 21",0.019999999999999574,0.0016
12.21,12.68,12.12,12.57,F,73020161,HISTORICAL_PRICES,F,,2021-03-23,1637202121000,0.0814880425155006,0.0814880425155006,12.57,12.21,12.68,12.12,73020161,12.507,12.1488,12.6165,12.0593,73020161,"Mar 23, 21",-0.6399999999999988,-0.0498
12.14,12.53,12.12,12.36,F,54534406,HISTORICAL_PRICES,F,,2021-03-24,1637202219000,0.07528786536758206,0.07528786536758206,12.36,12.14,12.53,12.12,54534406,12.2981,12.0792,12.4672,12.0593,54534406,"Mar 24, 21",-0.07000000000000028,-0.0057
12.32,12.35,11.72,11.94,F,54201830,HISTORICAL_PRICES,F,,2021-03-25,1637201824000,0.09123117803365821,0.09123117803365821,11.94,12.32,12.35,11.72,54201830,11.8802,12.2583,12.2881,11.6613,54201830,"Mar 25, 21",0.17999999999999972,0.0148
12.3,12.49,12.06,12.43,F,49239811,HISTORICAL_PRICES,F,,2021-03-26,1637201974000,0.08945969884853867,0.08945969884853867,12.43,12.3,12.49,12.06,49239811,12.3677,12.2384,12.4274,11.9996,49239811,"Mar 26, 21",-0.019999999999999574,-0.0016
12.15,12.36,12.065,12.2,F,44747925,HISTORICAL_PRICES,F,,2021-03-29,1637201813000,0.07617360496014183,0.07617360496014183,12.2,12.15,12.36,12.065,44747925,12.1389,12.0891,12.2981,12.0046,44747925,"Mar 29, 21",-0.15000000000000036,-0.0122
12.46,12.48,12.11,12.16,F,49762308,HISTORICAL_PRICES,F,,2021-03-30,1637202159000,0.10363153232949529,0.10363153232949529,12.16,12.46,12.48,12.11,49762308,12.0991,12.3976,12.4175,12.0493,49762308,"Mar 30, 21",0.3100000000000005,0.0255
12.25,12.54,12.21,12.46,F,60456889,HISTORICAL_PRICES,F,,2021-03-31,1637201877000,0.08503100088573967,0.08503100088573967,12.46,12.25,12.54,12.21,60456889,12.3976,12.1886,12.4772,12.1488,60456889,"Mar 31, 21",-0.21000000000000085,-0.0169
12.17,12.29,12.02,12.28,F,61907459,HISTORICAL_PRICES,F,,2021-04-01,1637201832000,0.07794508414526137,0.07794508414526137,12.28,12.17,12.29,12.02,61907459,12.2185,12.109,12.2284,11.9598,61907459,"Apr 1, 21",-0.08000000000000007,-0.0065
12.7,12.78,12.33,12.39,F,82332728,HISTORICAL_PRICES,F,,2021-04-05,1637201898000,0.12488928255093004,0.12488928255093004,12.39,12.7,12.78,12.33,82332728,12.3279,12.6364,12.716,12.2682,82332728,"Apr 5, 21",0.5299999999999994,0.0435
12.92,12.99,12.64,12.7,F,67499426,HISTORICAL_PRICES,F,,2021-04-06,1637201856000,0.14437555358724544,0.14437555358724544,12.7,12.92,12.99,12.64,67499426,12.6364,12.8553,12.9249,12.5767,67499426,"Apr 6, 21",0.22000000000000064,0.0173
12.73,12.93,12.66,12.87,F,42264039,HISTORICAL_PRICES,F,,2021-04-07,1637202159000,0.1275465013286095,0.1275465013286095,12.87,12.73,12.93,12.66,42264039,12.8055,12.6662,12.8652,12.5966,42264039,"Apr 7, 21",-0.1899999999999995,-0.0147
12.51,12.76,12.43,12.67,F,52621966,HISTORICAL_PRICES,F,,2021-04-08,1637201832000,0.10806023029229413,0.10806023029229413,12.67,12.51,12.76,12.43,52621966,12.6065,12.4473,12.6961,12.3677,52621966,"Apr 8, 21",-0.22000000000000064,-0.0173
12.51,12.62,12.39,12.49,F,40555411,HISTORICAL_PRICES,F,,2021-04-09,1637201934000,0.10806023029229413,0.10806023029229413,12.49,12.51,12.62,12.39,40555411,12.4274,12.4473,12.5568,12.3279,40555411,"Apr 9, 21",0,0
12.38,12.55,12.32,12.5,F,40422762,HISTORICAL_PRICES,F,,2021-04-12,1637201908000,0.09654561558901698,0.09654561558901698,12.5,12.38,12.55,12.32,40422762,12.4374,12.318,12.4871,12.2583,40422762,"Apr 12, 21",-0.129999999999999,-0.0104
12.2,12.445,12.1,12.39,F,51555966,HISTORICAL_PRICES,F,,2021-04-13,1637201908000,0.08060230292294067,0.08060230292294067,12.39,12.2,12.445,12.1,51555966,12.3279,12.1389,12.3827,12.0394,51555966,"Apr 13, 21",-0.1800000000000015,-0.0145
12.24,12.49,12.2,12.2,F,49877492,HISTORICAL_PRICES,F,,2021-04-14,1637201898000,0.08414526129317991,0.08414526129317991,12.2,12.24,12.49,12.2,49877492,12.1389,12.1787,12.4274,12.1389,49877492,"Apr 14, 21",0.040000000000000924,0.0033
12.24,12.32,12.125,12.3,F,38209311,HISTORICAL_PRICES,F,,2021-04-15,1637202219000,0.08414526129317991,0.08414526129317991,12.3,12.24,12.32,12.125,38209311,12.2384,12.1787,12.2583,12.0643,38209311,"Apr 15, 21",0,0
12.23,12.36,12.19,12.32,F,33132872,HISTORICAL_PRICES,F,,2021-04-16,1637201877000,0.08325952170062013,0.08325952170062013,12.32,12.23,12.36,12.19,33132872,12.2583,12.1687,12.2981,12.1289,33132872,"Apr 16, 21",-0.009999999999999787,-0.0008
12.11,12.25,12.02,12.22,F,39063481,HISTORICAL_PRICES,F,,2021-04-19,1637201824000,0.0726306465899026,0.0726306465899026,12.22,12.11,12.25,12.02,39063481,12.1588,12.0493,12.1886,11.9598,39063481,"Apr 19, 21",-0.120000000000001,-0.0098
11.45,12.06,11.35,12.06,F,83170803,HISTORICAL_PRICES,F,,2021-04-20,1637202121000,0.014171833480956613,0.014171833480956613,12.06,11.45,12.06,11.35,83170803,11.9996,11.3926,11.9996,11.2931,83170803,"Apr 20, 21",-0.6600000000000001,-0.0545
11.73,11.74,11.18,11.36,F,49641132,HISTORICAL_PRICES,F,,2021-04-21,1637202159000,0.03897254207263076,0.03897254207263076,11.36,11.73,11.74,11.18,49641132,11.3031,11.6712,11.6812,11.124,49641132,"Apr 21, 21",0.28000000000000114,0.0245
11.94,12.15,11.83,12.06,F,73064376,HISTORICAL_PRICES,F,,2021-04-22,1637202121000,0.05757307351638622,0.05757307351638622,12.06,11.94,12.15,11.83,73064376,11.9996,11.8802,12.0891,11.7707,73064376,"Apr 22, 21",0.20999999999999908,0.0179
12.22,12.24,11.87,11.97,F,51898945,HISTORICAL_PRICES,F,,2021-04-23,1637202219000,0.08237378210806037,0.08237378210806037,11.97,12.22,12.24,11.87,51898945,11.91,12.1588,12.1787,11.8105,51898945,"Apr 23, 21",0.28000000000000114,0.0235
12.27,12.4414,12.23,12.28,F,40863760,HISTORICAL_PRICES,F,,2021-04-26,1637202159000,0.08680248007085921,0.08680248007085921,12.28,12.27,12.4414,12.23,40863760,12.2185,12.2085,12.3791,12.1687,40863760,"Apr 26, 21",0.049999999999998934,0.0041
12.49,12.5,12.27,12.29,F,42037752,HISTORICAL_PRICES,F,,2021-04-27,1637201940000,0.10628875110717459,0.10628875110717459,12.29,12.49,12.5,12.27,42037752,12.2284,12.4274,12.4374,12.2085,42037752,"Apr 27, 21",0.22000000000000064,0.0179
12.43,12.6,12.385,12.6,F,68023415,HISTORICAL_PRICES,F,,2021-04-28,1637201813000,0.10097431355181583,0.10097431355181583,12.6,12.43,12.6,12.385,68023415,12.5369,12.3677,12.5369,12.323,68023415,"Apr 28, 21",-0.0600000000000005,-0.0048
11.26,11.91,11.14,11.91,F,230430629,HISTORICAL_PRICES,F,,2021-04-29,1637201877000,-0.0026572187776793058,-0.0026572187776793058,11.91,11.26,11.91,11.14,230430629,11.8503,11.2036,11.8503,11.0842,230430629,"Apr 29, 21",-1.17,-0.0941
11.54,11.54,11.33,11.36,F,90786462,HISTORICAL_PRICES,F,,2021-04-30,1637201824000,0.022143489813994686,0.022143489813994686,11.36,11.54,11.54,11.33,90786462,11.3031,11.4822,11.4822,11.2732,90786462,"Apr 30, 21",0.27999999999999936,0.0249
11.63,11.68,11.43,11.56,F,61987297,HISTORICAL_PRICES,F,,2021-05-03,1637201898000,0.03011514614703292,0.03011514614703292,11.56,11.63,11.68,11.43,61987297,11.5021,11.5717,11.6215,11.3727,61987297,"May 3, 21",0.09000000000000163,0.0078
11.41,11.55,11.23,11.53,F,71007685,HISTORICAL_PRICES,F,,2021-05-04,1637201940000,0.010628875110717539,0.010628875110717539,11.53,11.41,11.55,11.23,71007685,11.4722,11.3528,11.4921,11.1737,71007685,"May 4, 21",-0.22000000000000064,-0.0189
11.61,11.64,11.5,11.5,F,41381316,HISTORICAL_PRICES,F,,2021-05-05,1637201974000,0.028343666961913226,0.028343666961913226,11.5,11.61,11.64,11.5,41381316,11.4424,11.5518,11.5817,11.4424,41381316,"May 5, 21",0.1999999999999993,0.0175
11.74,11.76,11.48,11.55,F,50032823,HISTORICAL_PRICES,F,,2021-05-06,1637201908000,0.03985828166519053,0.03985828166519053,11.55,11.74,11.76,11.48,50032823,11.4921,11.6812,11.7011,11.4225,50032823,"May 6, 21",0.13000000000000078,0.0112
11.82,11.83,11.52,11.65,F,41525840,HISTORICAL_PRICES,F,,2021-05-07,1637201878000,0.04694419840566884,0.04694419840566884,11.65,11.82,11.83,11.52,41525840,11.5916,11.7608,11.7707,11.4623,41525840,"May 7, 21",0.08000000000000007,0.0068
11.71,11.93,11.7,11.78,F,51703508,HISTORICAL_PRICES,F,,2021-05-10,1637201847000,0.037201062887511224,0.037201062887511224,11.78,11.71,11.93,11.7,51703508,11.721,11.6513,11.8702,11.6414,51703508,"May 10, 21",-0.10999999999999943,-0.0093
11.58,11.76,11.42,11.45,F,56882624,HISTORICAL_PRICES,F,,2021-05-11,1637201898000,0.02568644818423392,0.02568644818423392,11.45,11.58,11.76,11.42,56882624,11.3926,11.522,11.7011,11.3628,56882624,"May 11, 21",-0.13000000000000078,-0.0111
11.33,11.68,11.28,11.54,F,55663086,HISTORICAL_PRICES,F,,2021-05-12,1637201928000,0.0035429583702392318,0.0035429583702392318,11.54,11.33,11.68,11.28,55663086,11.4822,11.2732,11.6215,11.2235,55663086,"May 12, 21",-0.25,-0.0216
11.55,11.68,11.35,11.36,F,56598472,HISTORICAL_PRICES,F,,2021-05-13,1637201813000,0.023029229406554615,0.023029229406554615,11.36,11.55,11.68,11.35,56598472,11.3031,11.4921,11.6215,11.2931,56598472,"May 13, 21",0.22000000000000064,0.0194
11.84,11.87,11.62,11.65,F,48619221,HISTORICAL_PRICES,F,,2021-05-14,1637201908000,0.048715677590788375,0.048715677590788375,11.65,11.84,11.87,11.62,48619221,11.5916,11.7807,11.8105,11.5618,48619221,"May 14, 21",0.28999999999999915,0.0251
12.15,12.18,11.79,11.82,F,52201744,HISTORICAL_PRICES,F,,2021-05-17,1637201813000,0.07617360496014183,0.07617360496014183,11.82,12.15,12.18,11.79,52201744,11.7608,12.0891,12.119,11.7309,52201744,"May 17, 21",0.3100000000000005,0.0262
12.14,12.53,12.13,12.29,F,72472888,HISTORICAL_PRICES,F,,2021-05-18,1637201824000,0.07528786536758206,0.07528786536758206,12.29,12.14,12.53,12.13,72472888,12.2284,12.0792,12.4672,12.0692,72472888,"May 18, 21",-0.009999999999999787,-0.0008
12.11,12.21,11.85,12.03,F,70220759,HISTORICAL_PRICES,F,,2021-05-19,1637201847000,0.0726306465899026,0.0726306465899026,12.03,12.11,12.21,11.85,70220759,11.9697,12.0493,12.1488,11.7906,70220759,"May 19, 21",-0.030000000000001137,-0.0025
12.49,12.69,12.3,12.52,F,106243905,HISTORICAL_PRICES,F,,2021-05-20,1637201974000,0.10628875110717459,0.10628875110717459,12.52,12.49,12.69,12.3,106243905,12.4573,12.4274,12.6264,12.2384,106243905,"May 20, 21",0.3800000000000008,0.0314
13.33,13.47,12.57,12.7,F,200958563,HISTORICAL_PRICES,F,,2021-05-21,1637201813000,0.18069087688219673,0.18069087688219673,12.7,13.33,13.47,12.57,200958563,12.6364,13.2632,13.4025,12.507,200958563,"May 21, 21",0.8399999999999999,0.0673
13.06,13.38,12.92,13.38,F,111374304,HISTORICAL_PRICES,F,,2021-05-24,1637201847000,0.15677590788308252,0.15677590788308252,13.38,13.06,13.38,12.92,111374304,13.313,12.9946,13.313,12.8553,111374304,"May 24, 21",-0.2699999999999996,-0.0203
12.81,13.43,12.8,13.13,F,113383362,HISTORICAL_PRICES,F,,2021-05-25,1637201928000,0.13463241806908782,0.13463241806908782,13.13,12.81,13.43,12.8,113383362,13.0642,12.7458,13.3627,12.7359,113383362,"May 25, 21",-0.25,-0.0191
