close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
126.85,127.39,126.42,126.955,AAPL,56575920,HISTORICAL_PRICES,AAPL,,2021-05-26,1636136209000,-0.11244052616848582,-0.11244052616848582,126.955,126.85,127.39,126.42,56575920,126.5803,126.4756,127.0141,126.0469,56575920,"May 26, 21",-0.05000000000001137,-0.0004
125.28,127.64,125.08,126.44,AAPL,94625601,HISTORICAL_PRICES,AAPL,,2021-05-27,1636136374000,-0.12342569269521401,-0.12342569269521401,126.44,125.28,127.64,125.08,94625601,126.0669,124.9103,127.2633,124.7109,94625601,"May 27, 21",-1.5699999999999932,-0.0124
124.61,125.8,124.55,125.57,AAPL,71311109,HISTORICAL_PRICES,AAPL,,2021-05-28,1636136223000,-0.12811363000279868,-0.12811363000279868,125.57,124.61,125.8,124.55,71311109,125.1994,124.2423,125.4287,124.1824,71311109,"May 28, 21",-0.6700000000000017,-0.0053
124.28,125.35,123.94,125.08,AAPL,67637118,HISTORICAL_PRICES,AAPL,,2021-06-01,1636136223000,-0.130422614049818,-0.130422614049818,125.08,124.28,125.35,123.94,67637118,124.7109,123.9132,124.9801,123.5742,67637118,"Jun 1, 21",-0.3299999999999983,-0.0026
125.06,125.24,124.05,124.28,AAPL,59278862,HISTORICAL_PRICES,AAPL,,2021-06-02,1636136195000,-0.1249650153932269,-0.1249650153932269,124.28,125.06,125.24,124.05,59278862,123.9132,124.6909,124.8704,123.6839,59278862,"Jun 2, 21",0.7800000000000011,0.0063
123.54,124.85,123.13,124.68,AAPL,76229170,HISTORICAL_PRICES,AAPL,,2021-06-03,1636136381000,-0.1356003358522249,-0.1356003358522249,124.68,123.54,124.85,123.13,76229170,124.3121,123.1754,124.4815,122.7666,76229170,"Jun 3, 21",-1.519999999999996,-0.0122
125.89,126.16,123.85,124.07,AAPL,75169343,HISTORICAL_PRICES,AAPL,,2021-06-04,1636136381000,-0.1191575706689056,-0.1191575706689056,124.07,125.89,126.16,123.85,75169343,123.7039,125.5185,125.7877,123.4845,75169343,"Jun 4, 21",2.3499999999999943,0.019
125.9,126.32,124.8321,126.17,AAPL,71057550,HISTORICAL_PRICES,AAPL,,2021-06-07,1636136374000,-0.11908760145535953,-0.11908760145535953,126.17,125.9,126.32,124.8321,71057550,125.7977,125.5285,125.9472,124.4637,71057550,"Jun 7, 21",0.010000000000005116,0.0001
126.74,128.46,126.2101,126.6,AAPL,74403774,HISTORICAL_PRICES,AAPL,,2021-06-08,1636136594000,-0.11321018751749226,-0.11321018751749226,126.6,126.74,128.46,126.2101,74403774,126.2264,126.366,128.0809,125.8376,74403774,"Jun 8, 21",0.8399999999999892,0.0067
127.13,127.75,126.52,127.21,AAPL,56877937,HISTORICAL_PRICES,AAPL,,2021-06-09,1636136240000,-0.11048138818919671,-0.11048138818919671,127.21,127.13,127.75,126.52,56877937,126.8346,126.7548,127.373,126.1466,56877937,"Jun 9, 21",0.39000000000000057,0.0031
126.11,128.19,125.94,127.02,AAPL,71186421,HISTORICAL_PRICES,AAPL,,2021-06-10,1636136281000,-0.11761824797089274,-0.11761824797089274,127.02,126.11,128.19,125.94,71186421,126.6451,125.7378,127.8117,125.5683,71186421,"Jun 10, 21",-1.019999999999996,-0.008
127.35,127.44,126.1,126.53,AAPL,53522373,HISTORICAL_PRICES,AAPL,,2021-06-11,1636136355000,-0.10894206549118383,-0.10894206549118383,126.53,127.35,127.44,126.1,53522373,126.1566,126.9742,127.0639,125.7279,53522373,"Jun 11, 21",1.2399999999999949,0.0098
130.48,130.54,127.07,127.82,AAPL,96906490,HISTORICAL_PRICES,AAPL,,2021-06-14,1636136381000,-0.08704170165127344,-0.08704170165127344,127.82,130.48,130.54,127.07,96906490,127.4428,130.0949,130.1548,126.695,96906490,"Jun 14, 21",3.1299999999999955,0.0246
129.64,130.6,129.39,129.94,AAPL,62746332,HISTORICAL_PRICES,AAPL,,2021-06-15,1636136374000,-0.09291911558914079,-0.09291911558914079,129.94,129.64,130.6,129.39,62746332,129.5565,129.2574,130.2146,129.0082,62746332,"Jun 15, 21",-0.8400000000000034,-0.0064
130.15,130.89,128.461,130.37,AAPL,91815026,HISTORICAL_PRICES,AAPL,,2021-06-16,1636136223000,-0.08935068569829263,-0.08935068569829263,130.37,130.15,130.89,128.461,91815026,129.9853,129.7659,130.5037,128.0819,91815026,"Jun 16, 21",0.5100000000000193,0.0039
131.79,132.55,129.65,129.8,AAPL,96721669,HISTORICAL_PRICES,AAPL,,2021-06-17,1636136240000,-0.0778757346767422,-0.0778757346767422,129.8,131.79,132.55,129.65,96721669,129.4169,131.4011,132.1588,129.2674,96721669,"Jun 17, 21",1.6399999999999864,0.0126
130.46,131.51,130.24,130.71,AAPL,108953309,HISTORICAL_PRICES,AAPL,,2021-06-18,1636136240000,-0.08718164007836539,-0.08718164007836539,130.71,130.46,131.51,130.24,108953309,130.3243,130.075,131.1219,129.8556,108953309,"Jun 18, 21",-1.329999999999984,-0.0101
132.3,132.41,129.21,130.3,AAPL,79663316,HISTORICAL_PRICES,AAPL,,2021-06-21,1636136355000,-0.07430730478589405,-0.07430730478589405,130.3,132.3,132.41,129.21,79663316,129.9155,131.9096,132.0192,128.8287,79663316,"Jun 21, 21",1.8400000000000034,0.0141
133.98,134.08,131.62,132.13,AAPL,74783618,HISTORICAL_PRICES,AAPL,,2021-06-22,1636136209000,-0.06255247691015951,-0.06255247691015951,132.13,133.98,134.08,131.62,74783618,131.7401,133.5846,133.6843,131.2316,74783618,"Jun 22, 21",1.6799999999999784,0.0127
133.7,134.32,133.23,133.77,AAPL,60214200,HISTORICAL_PRICES,AAPL,,2021-06-23,1636136223000,-0.06451161488944863,-0.06451161488944863,133.77,133.7,134.32,133.23,60214200,133.3752,133.3054,133.9236,132.8368,60214200,"Jun 23, 21",-0.28000000000000114,-0.0021
