"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"101775","1632433","REGULAR","NAZARETH OF CLIFTON","","2120 PAYNE ST","","LOUISVILLE","KY","40206","FOOD SERVICE (HOSPITAL / NURSING HOME","2021-10-26 00:00:00","98","A","NAZARETH OF CLIFTON",""
"96502","1632438","REGULAR","PATEL'S FOOD MART","","7401 NEW LAGRANGE RD","","LOUISVILLE","KY","40222","PRE-PACKAGED RETAIL","2021-10-26 00:00:00","96","","PATEL'S FOOD MART",""
"99863","1632510","REGULAR","SCRIBBLES & GIGGLES CHILDHOOD ACADEMY","","2900 PATTI LN","","LOUISVILLE","KY","40299","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2021-10-27 00:00:00","100","A","SCRIBBLES & GIGGLES CHILDHOOD ACADEMY",""
"113990","1635602","OTHER","DEE DEES LITTLE BEES 2","","8006 NATIONAL TURNPIKE","","LOUISVILLE","KY","40214","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2021-11-01 00:00:00","95","","DEE DEES LITTLE BEES 2",""
"43744","1635604","REGULAR","MY FAVORITE MUFFIN","","9800 SHELBYVILLE RD","","LOUISVILLE","KY","40223","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-11-11 00:00:00","99","","MY FAVORITE MUFFIN",""
"113991","1635605","OTHER","MASHALLAH AFRICAN RESTAURANT","","5019 POPLAR LEVEL RD","","LOUISVILLE","KY","40219","FOOD SERVICE","2021-11-02 00:00:00","98","","MASHALLAH AFRICAN RESTAURANT",""
"86725","1635609","REGULAR","FIREHOUSE SUBS #486","","215 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40222","FOOD SERVICE","2021-11-11 00:00:00","97","A","FIREHOUSE SUBS #486",""
"99222","1635616","REGULAR","PROVIDENCE CHILD CARE & PRESCHOOL","","11850 COMMONWEALTH DR","","LOUISVILLE","KY","40299","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2021-11-11 00:00:00","100","A","PROVIDENCE CHILD CARE & PRESCHOOL",""
"107172","1635617","REGULAR","THORNTONS #94","","1804 BLANKENBAKER PKWY","","LOUISVILLE","KY","40299","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-11-11 00:00:00","97","A","THORNTONS #94",""
"113995","1635625","COMPLAINT","BELLARMINE SIMPLY TO GO - ALLEN HALL","","2120 NEWBURG RD","","LOUISVILLE","KY","40205","PRE-PACKAGED RETAIL","2021-10-13 00:00:00","","","BELLARMINE SIMPLY TO GO - ALLEN HALL",""
"33905","1635637","REGULAR","SPEEDWAY #9511","","7430 TERRY RD","","LOUISVILLE","KY","40258","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-11-11 00:00:00","98","A","SPEEDWAY #9511",""
"33905","1635638","REGULAR","SPEEDWAY #9511","","7430 TERRY RD","","LOUISVILLE","KY","40258","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-11-11 00:00:00","98","","SPEEDWAY #9511",""
"35079","1635661","REGULAR","JOCKEY CLUB SUITES","","700 CENTRAL AVE","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-11-11 00:00:00","98","A","JOCKEY CLUB SUITES",""
"104878","1635662","REGULAR","STARTING GATE PANTRY 4","","700 CENTRAL AVE","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-11-11 00:00:00","100","A","STARTING GATE PANTRY 4",""
"74263","1635671","REGULAR","TURF WINN KITCHEN","","700 CENTRAL AVE","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-11-11 00:00:00","100","A","TURF WINN KITCHEN",""
"66736","1635731","REGULAR","BARNES & NOBLE BOOKSELLERS","","4100 SUMMIT PLAZA DR","","LOUISVILLE","KY","40241","FOOD SERVICE","2021-11-12 00:00:00","100","A","BARNES & NOBLE BOOKSELLERS",""
"34211","1635743","REGULAR","LEFT FIELD LOUNGE INC","","2282 BARDSTOWN RD","","LOUISVILLE","KY","40205","FOOD SERVICE","2021-11-12 00:00:00","98","A","LEFT FIELD LOUNGE INC",""
"102754","1635755","REGULAR","HIDEOUT PIZZARIA","","5620 BARRET LN","","LOUISVILLE","KY","40272","FOOD SERVICE","2021-11-12 00:00:00","99","A","HIDEOUT PIZZARIA",""
"110987","1635756","REGULAR","THE LOCKER ROOM PUB","","12812 DIXIE HWY","","LOUISVILLE","KY","40272","FOOD SERVICE","2021-11-12 00:00:00","100","A","THE LOCKER ROOM PUB",""
"92095","1639024","REGULAR","MANGO'S MEXICAN GRILL","","4632 HENDRIK DR","","LOUISVILLE","KY","40299","FOOD SERVICE","2021-11-30 00:00:00","96","A","MANGO'S MEXICAN GRILL",""
"35027","1639027","REGULAR","VALU MARKET","","5301 MITSCHER AVE","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,001 SQ FT OR OVER","2021-11-30 00:00:00","97","","VALU MARKET",""
"101824","1639138","REGULAR","LITTLE GREEK","","4600 SHELBYVILLE RD STE 402","","LOUISVILLE","KY","40207","FOOD SERVICE","2021-11-30 00:00:00","97","A","LITTLE GREEK",""
"101124","1642517","REGULAR","SAM'S GYROS","","3123 S 2ND ST","","LOUISVILLE","KY","40208","FOOD SERVICE","2021-12-15 00:00:00","100","A","SAM'S GYROS",""
"75536","1642523","REGULAR","KROGER L-763","","520 N 35TH ST","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,001 SQ FT OR OVER","2021-12-15 00:00:00","98","","KROGER L-763",""
"35119","1642526","REGULAR","WILD HORSE SALOON","","2927 S 7TH ST","","LOUISVILLE","KY","40216","FOOD SERVICE","2021-12-15 00:00:00","94","A","WILD HORSE SALOON",""
"56222","1642625","FOLLOWUP","SPEEDWAY #9358","","5400 ANTLE DR","","LOUISVILLE","KY","40229","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-12-15 00:00:00","97","","SPEEDWAY #9358",""
"111288","1642670","REGULAR","NAPA RIVER GRILL","","1211 HERR LN","","LOUISVILLE","KY","40222","FOOD SERVICE","2021-12-15 00:00:00","99","A","NAPA RIVER GRILL",""
"101416","1642672","REGULAR","JADE PALACE","","1109 HERR LN","","LOUISVILLE","KY","40222","FOOD SERVICE","2021-12-15 00:00:00","94","A","JADE PALACE",""
"107185","1644962","REGULAR","THORNTONS #158","","4900 BROWNSBORO RD","","LOUISVILLE","KY","40222","RETAIL-FOOD  10,000 SQ FT OR LESS","2022-01-04 00:00:00","98","","THORNTONS #158",""
"66693","1645012","REGULAR","MCDONALD'S #7536","","5905 TIMBER RIDGE DR","","PROSPECT","KY","40059","FOOD SERVICE","2022-01-04 00:00:00","97","A","MCDONALD'S #7536",""
"82396","1645035","REGULAR","KAREM'S DELI & CATERING","","3600 CHAMBERLAIN LN STE 338","","LOUISVILLE","KY","40241","CATERERS","2022-01-04 00:00:00","98","A","KAREM'S DELI & CATERING",""
"68285","1645036","REGULAR","STONEY RIVER LEGENDARY STEAKS","","3900 SUMMIT PLAZA DR","","LOUISVILLE","KY","40241","FOOD SERVICE","2022-01-04 00:00:00","97","A","STONEY RIVER LEGENDARY STEAKS",""
"44344","1645037","REGULAR","SUB STATION II","","3101 FERN VALLEY RD","","LOUISVILLE","KY","40213","FOOD SERVICE","2022-01-04 00:00:00","99","A","SUB STATION II",""
"96962","1645039","REGULAR","ZAXBY'S #51501","","3423 FERN VALLEY RD","","LOUISVILLE","KY","40213","FOOD SERVICE","2022-01-04 00:00:00","98","A","ZAXBY'S #51501",""
"111415","1645060","FOLLOWUP","CARALI'S ROTISSERIE CHICKEN","","642 BAXTER AVE STE 102 B","","LOUISVILLE","KY","40204","FOOD SERVICE","2022-01-04 00:00:00","100","A","CARALI'S ROTISSERIE CHICKEN",""
"103864","1645061","REGULAR","MAIRA MEDITERRANEAN GRILL","","1907 S 4TH ST STE C","","LOUISVILLE","KY","40208","FOOD SERVICE","2022-01-04 00:00:00","94","A","MAIRA MEDITERRANEAN GRILL",""
"90074","1645062","REGULAR","MT FUJI","","309 W CARDINAL BLVD","","LOUISVILLE","KY","40208","FOOD SERVICE","2022-01-04 00:00:00","96","A","MT FUJI",""
"96434","1645063","REGULAR","TAYLOR BLVD VALERO","","3039 TAYLOR BLVD","","LOUISVILLE","KY","40208","PRE-PACKAGED RETAIL","2022-01-04 00:00:00","94","","TAYLOR BLVD VALERO",""
"94838","1642013","REGULAR","LA POPULAR","","2521 S 7TH ST","","LOUISVILLE","KY","40208","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-12-13 00:00:00","95","A","LA POPULAR",""
"94838","1642015","REGULAR","LA POPULAR","","2521 S 7TH ST","","LOUISVILLE","KY","40208","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-12-13 00:00:00","98","","LA POPULAR",""
"43367","1642174","REGULAR","KENESETH ISRAEL PRESCHOOL","","2531 TAYLORSVILLE RD","","LOUISVILLE","KY","40205","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2021-12-14 00:00:00","92","C","KENESETH ISRAEL PRESCHOOL",""
"102191","1642176","REGULAR","COMMONWEALTH CATERING LLC","","2401 WOODBOURNE AVE","","LOUISVILLE","KY","40205","CATERERS","2021-12-14 00:00:00","99","A","COMMONWEALTH CATERING LLC",""
"107592","1647775","SURVEY","WENDYS","","1630 KENTUCKY MILLS DR","","LOUISVILLE","KY","40299","FOOD SERVICE","2022-01-14 00:00:00","","","WENDYS",""
"107592","1647777","COMPLAINT","WENDYS","","1630 KENTUCKY MILLS DR","","LOUISVILLE","KY","40299","FOOD SERVICE","2021-11-15 00:00:00","","","WENDYS",""
